yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2015,LAW ,15000001,2015-01-01 00:00:00.000,,SELF,PERSON STOP,ASST,ASSISTED,0.0,0.0,217,1,1,EP05,6,97402,5E48  ,1,1
2015,LAW ,15000001,2015-01-01 00:00:00.000,,SELF,PERSON STOP,ASST,ASSISTED,0.0,0.0,217,1,1,EP05,6,97402,5E48  ,1,1
2015,LAW ,15000002,2015-01-01 00:00:44.000,,SELF,FIGHT,RSLV,RESOLVED,0.0,0.0,2114,1,1,EP02,P,97401,3F65  ,4,2
2015,LAW ,15000003,2015-01-01 00:01:05.000,,PHONE,CHECK WELFARE,ASST,ASSISTED,708.0,1094.0,1538,1,1,EP02,5,97401,CAHOOT,1,1
2015,LAW ,15000007,2015-01-01 00:03:16.000,,W911,SHOTS FIRED,PCHK,PATROL CHECK,277.0,576.0,891,1,1,EP04,3,97405,5E48  ,2,2
2015,LAW ,15000010,2015-01-01 00:03:34.000,,SELF,ILLEGAL FIREWORKS,ADVI,ADVISED,0.0,0.0,150,1,1,EP05,5,97402,5K97  ,1,1
2015,LAW ,15000012,2015-01-01 00:04:07.000,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,2,1,1,EP03,6,97405,4E31  ,1,1
2015,LAW ,15000014,2015-01-01 00:04:59.000,,SELF,ASSIST OREGON STATE POLICE,ASST,ASSISTED,0.0,0.0,91,1,1,EP05,P,97402,4X40  ,1,1
2015,LAW ,15000015,2015-01-01 00:05:10.000,,W911,OPEN DOOR,FALS,FALSE ALARM,270.0,329.0,1098,1,1,EP05,3,97402,5E57  ,3,3
2015,LAW ,15000016,2015-01-01 00:05:40.000,,SELF,TRAFFIC STOP,ASST,ASSISTED,0.0,0.0,1395,1,1,EP02,6,97401,3F68  ,2,2
2015,LAW ,15000018,2015-01-01 00:08:08.000,1500021,PHONE,VIOLATION OF RESTRAINING ORDER,REPT,REPORT TAKEN,28186.0,29425.0,39201,1,1,EP05,4,97402,1E53  ,1,1
2015,LAW ,15000021,2015-01-01 00:10:35.000,,W911,DISPUTE,ADVI,ADVISED,255.0,507.0,1019,1,1,EP05,3,97402,4E81  ,3,3
2015,LAW ,15000023,2015-01-01 00:12:00.000,,SELF,DISPUTE,ADVI,ADVISED,0.0,0.0,1681,1,1,EP02,P,97401,6E28  ,3,3
2015,LAW ,15000024,2015-01-01 00:12:20.000,,SELF,TRAFFIC STOP,SBCK,SOBRIETY CHECK,1.0,1.0,1163,1,1,EP01,6,97401,6E97  ,2,2
2015,LAW ,15000027,2015-01-01 00:15:28.000,1500002,SELF,PERSON STOP,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,401,1,1,EP02,6,97401,4U71  ,1,1
2015,LAW ,15000031,2015-01-01 00:17:39.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,485,1,1,EP01,6,97408,6E15  ,1,1
2015,LAW ,15000033,2015-01-01 00:19:51.000,,PHONE,DISPUTE,ADVI,ADVISED,709.0,947.0,1910,1,1,EP01,3,97401,6E15  ,2,2
2015,LAW ,15000038,2015-01-01 00:26:13.000,1500005,W911,HIT AND RUN,CLC ,CITED IN LIEU OF CUSTODY,184.0,261.0,20745,1,1,EP02,3,97401,6B36  ,5,5
2015,LAW ,15000039,2015-01-01 00:26:50.000,,PHONE,SUBJECT DOWN,ASST,ASSISTED,57.0,736.0,3107,1,1,EP05,1,97402,CAHOOT,1,1
2015,LAW ,15000041,2015-01-01 00:27:31.000,,PHONE,ANIMAL ABUSE,RSLV,RESOLVED,,,320,0,0,EP01,5,97401,AWO   ,0,0
2015,LAW ,15000042,2015-01-01 00:28:32.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,235,1,1,EP02,6,97401,6E28  ,1,1
