yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2014,LAW ,14000001,2014-01-01 00:00:05.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,1.0,1.0,690,1,1,EP05,6,97402,5Z51  ,1,1
2014,LAW ,14000003,2014-01-01 00:01:50.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,170,1,1,EP02,6,97401,5T82  ,2,2
2014,LAW ,14000006,2014-01-01 00:05:17.000,,PHONE,DISPUTE,ADVI,ADVISED,219.0,596.0,1444,1,1,EP01,3,97401,5E93  ,3,2
2014,LAW ,14000007,2014-01-01 00:08:36.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,427,1,1,EP02,6,97401,5E31  ,2,2
2014,LAW ,14000011,2014-01-01 00:10:21.000,,E911,THEFT,RSLV,RESOLVED,168.0,380.0,1126,1,1,EP05,3,97402,6E45  ,2,2
2014,LAW ,14000014,2014-01-01 00:12:38.000,,PHONE,ILLEGAL BURNING,ADVI,ADVISED,1160.0,1262.0,1564,1,1,EP01,1,97401,7E98  ,2,2
2014,LAW ,14000016,2014-01-01 00:15:40.000,1400002,SELF,PERSON STOP,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,429,1,1,EP02,6,97401,5F73  ,2,2
2014,LAW ,14000017,2014-01-01 00:16:38.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,701,1,1,EP05,6,97402,5E31  ,2,2
2014,LAW ,14000022,2014-01-01 00:20:26.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,114,1,1,EP02,6,97401,5T82  ,1,1
2014,LAW ,14000024,2014-01-01 00:21:48.000,1400001,SELF,PERSON STOP,REPT,REPORT TAKEN,0.0,0.0,46,1,1,EP02,6,97401,3F65  ,1,1
2014,LAW ,14000027,2014-01-01 00:29:42.000,1400003,SELF,DWS,CLC ,CITED IN LIEU OF CUSTODY,0.0,0.0,3751,1,1,EP02,6,97401,5E31  ,2,2
2014,LAW ,14000028,2014-01-01 00:30:04.000,,SELF,PERSON STOP,WARN,WARNING,0.0,0.0,593,1,1,EP02,6,97401,5F73  ,3,3
2014,LAW ,14000031,2014-01-01 00:30:57.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,1.0,1.0,109,1,1,EP01,6,97401,6E68  ,1,1
2014,LAW ,14000032,2014-01-01 00:31:14.000,,PHONE,LOUD NOISE,DIS ,DISREGARD,,,1079,0,0,EP06,5,97404,,0,0
2014,LAW ,14000039,2014-01-01 00:36:18.000,,SELF,TRAFFIC STOP,REL ,REFERRED TO OTHER AGENCY,0.0,0.0,509,1,1,EP03,6,97401,,1,0
2014,LAW ,14000041,2014-01-01 00:37:43.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,579,1,1,LS13,6,97402,6E68  ,3,2
2014,LAW ,14000045,2014-01-01 00:39:23.000,,W911,THEFT FROM VEHICLE,INFO,INFORMATION ONLY,535.0,,542,1,0,EP02,3,97401,5E22  ,2,2
2014,LAW ,14000046,2014-01-01 00:39:46.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,19,1,1,EP02,6,97401,5T82  ,1,1
